dupla	id	cc	ap	status
DUPLA1	AG1	18.88	6.88	vencedor
DUPLA1	AG6	15.31	5.27	perdedor
DUPLA2	AG5	16.96	5.99	perdedor
DUPLA2	AG7	20.35	8.35	vencedor
DUPLA3	AL6	13.78	4.77	vencedor
DUPLA3	AL21	14.33	4.39	perdedor
DUPLA4	AG9	15.72	4.88	perdedor
DUPLA4	AG10	20.99	8.68	vencedor
DUPLA5	AL8	20.77	8.02	vencedor
DUPLA5	AL22	19.31	7.26	perdedor
DUPLA6	AG4	14.64	4.82	perdedor
DUPLA6	AG13	18.33	7.38	vencedor
DUPLA7	AL25	19.41	7.57	perdedor
DUPLA7	AL23	22.67	10.44	vencedor
DUPLA9	AL7	15.44	5.42	perdedor
DUPLA9	AL24	17.59	6.15	vencedor
DUPLA12	AL16	18.7	7.81	vencedor
DUPLA12	AL19	14.87	5.04	perdedor
DUPLA15	AL11	19.9	7.54	vencedor
DUPLA15	AL26	18.49	6.83	perdedor
DUPLA16	AL12	18.19	6.8	vencedor
DUPLA16	AL20	16.37	5.9	perdedor
DUPLA18	AL14	16.31	5.91	perdedor
DUPLA18	AL17	23.11	9.87	vencedor
DUPLA19	AL18	18.82	6.96	vencedor
DUPLA19	AL27	20.55	7.95	perdedor
DUPLA20	AL28	16.21	5.48	vencedor
DUPLA20	AL29	14.68	5.06	perdedor
DUPLA22	AG144	23.08	9.22	vencedor
DUPLA22	AG145	16.45	5.6	perdedor
DUPLA23	AG16	20.85	8.43	perdedor
DUPLA23	AG36	20.21	7.58	vencedor
DUPLA24	AG17	17.59	6.63	vencedor
DUPLA24	AG18	18.2	6.69	perdedor
DUPLA25	AG19	22.64	9.43	vencedor
DUPLA25	AG20	22.28	9	perdedor
DUPLA26	AG33	17.04	5.99	vencedor
DUPLA26	AG34	17.01	5.85	perdedor
DUPLA27	AG25	21.04	8.53	perdedor
DUPLA27	AG26	20.65	8.55	vencedor
DUPLA28	AG70	18.63	6.17	vencedor
DUPLA28	AG78	17.29	6.01	perdedor
DUPLA29	AG15	21.85	9.22	perdedor
DUPLA29	AG27	21.33	9.09	vencedor
DUPLA30	AG31	18.37	6.68	vencedor
DUPLA30	AG32	18.82	6.78	perdedor
DUPLA31	AG74	19.56	7.24	perdedor
DUPLA31	AG76	18.94	7.02	vencedor
DUPLA32	AG116	20.91	8.15	vencedor
DUPLA32	AG125	21.02	8.74	perdedor
DUPLA33	AG124	21.18	8.56	vencedor
DUPLA33	AG130	21.2	9.25	perdedor
DUPLA34	AG123	21.74	8.34	vencedor
DUPLA34	AG133	21.22	7.68	perdedor
DUPLA35	AG112	22.2	9.34	perdedor
DUPLA35	AG113	22.45	9.37	vencedor
DUPLA36	AG117	22.73	8.78	vencedor
DUPLA36	AG120	22.52	8.92	perdedor
DUPLA37	AG89	24.08	11.89	vencedor
DUPLA37	AG127	23.68	11.54	perdedor
