Event_ID	timestamp	location.long	location.lat	individual.taxon.canonical.name	tag.local.identifier	individual.local.identifier (ID)	study.name	country
119117	8/27/15 2:41	-56.241181	-19.604223	Panthera onca	919458	101	Rio Negro	Brazil
119118	8/27/15 12:41	-56.241138	-19.604244	Panthera onca	919458	101	Rio Negro	Brazil
119119	8/28/15 0:41	-56.250343	-19.616486	Panthera onca	919458	101	Rio Negro	Brazil
119120	8/28/15 5:41	-56.250343	-19.616507	Panthera onca	919458	101	Rio Negro	Brazil
119121	8/28/15 10:40	-56.250408	-19.616529	Panthera onca	919458	101	Rio Negro	Brazil
119122	8/29/15 11:41	-56.250365	-19.616743	Panthera onca	919458	101	Rio Negro	Brazil
119123	8/30/15 3:41	-56.294761	-19.596047	Panthera onca	919458	101	Rio Negro	Brazil
119124	8/30/15 8:41	-56.294782	-19.596047	Panthera onca	919458	101	Rio Negro	Brazil
119125	8/31/15 1:41	-56.299288	-19.604759	Panthera onca	919458	101	Rio Negro	Brazil
119126	8/31/15 11:40	-56.325746	-19.623363	Panthera onca	919458	101	Rio Negro	Brazil
119127	8/31/15 22:41	-56.376557	-19.62096	Panthera onca	919458	101	Rio Negro	Brazil
119128	09/01/2015 03:41	-56.369412	-19.633244	Panthera onca	919458	101	Rio Negro	Brazil
119129	09/01/2015 08:40	-56.377094	-19.651001	Panthera onca	919458	101	Rio Negro	Brazil
119130	09/01/2015 18:40	-56.360593	-19.67278	Panthera onca	919458	101	Rio Negro	Brazil
119131	09/01/2015 23:41	-56.360571	-19.672769	Panthera onca	919458	101	Rio Negro	Brazil
119132	09/02/2015 04:40	-56.323514	-19.655528	Panthera onca	919458	101	Rio Negro	Brazil
119133	09/03/2015 00:40	-56.288281	-19.639392	Panthera onca	919458	101	Rio Negro	Brazil
119134	09/03/2015 05:40	-56.304224	-19.656161	Panthera onca	919458	101	Rio Negro	Brazil
119135	09/03/2015 10:40	-56.304202	-19.656043	Panthera onca	919458	101	Rio Negro	Brazil
119136	09/04/2015 02:40	-56.291649	-19.646763	Panthera onca	919458	101	Rio Negro	Brazil
119137	09/05/2015 04:40	-56.284783	-19.641323	Panthera onca	919458	101	Rio Negro	Brazil
119138	09/06/2015 01:41	-56.28768	-19.631968	Panthera onca	919458	101	Rio Negro	Brazil
119139	09/06/2015 11:40	-56.299288	-19.600049	Panthera onca	919458	101	Rio Negro	Brazil
119140	09/07/2015 02:40	-56.271608	-19.635133	Panthera onca	919458	101	Rio Negro	Brazil
119141	09/07/2015 07:41	-56.254721	-19.638458	Panthera onca	919458	101	Rio Negro	Brazil
119142	09/07/2015 23:41	-56.269741	-19.635594	Panthera onca	919458	101	Rio Negro	Brazil
119143	09/08/2015 00:40	-56.269741	-19.635519	Panthera onca	919458	101	Rio Negro	Brazil
119144	09/08/2015 01:40	-56.269741	-19.635562	Panthera onca	919458	101	Rio Negro	Brazil
119145	09/08/2015 02:40	-56.269741	-19.635551	Panthera onca	919458	101	Rio Negro	Brazil
119146	09/08/2015 03:40	-56.26972	-19.63553	Panthera onca	919458	101	Rio Negro	Brazil
119147	09/08/2015 05:40	-56.26972	-19.635594	Panthera onca	919458	101	Rio Negro	Brazil
119148	09/09/2015 00:41	-56.283066	-19.648254	Panthera onca	919458	101	Rio Negro	Brazil
119149	09/09/2015 02:40	-56.271093	-19.662813	Panthera onca	919458	101	Rio Negro	Brazil
119150	09/09/2015 03:40	-56.261394	-19.662974	Panthera onca	919458	101	Rio Negro	Brazil
119151	09/09/2015 08:40	-56.265943	-19.660195	Panthera onca	919458	101	Rio Negro	Brazil
119152	09/10/2015 15:41	-56.281757	-19.647202	Panthera onca	919458	101	Rio Negro	Brazil
119153	09/10/2015 21:41	-56.281414	-19.645293	Panthera onca	919458	101	Rio Negro	Brazil
119154	09/12/2015 00:41	-56.287122	-19.625015	Panthera onca	919458	101	Rio Negro	Brazil
119155	09/12/2015 15:40	-56.275985	-19.632236	Panthera onca	919458	101	Rio Negro	Brazil
119156	09/12/2015 20:41	-56.276028	-19.632171	Panthera onca	919458	101	Rio Negro	Brazil
119157	9/13/15 6:41	-56.275878	-19.631914	Panthera onca	919458	101	Rio Negro	Brazil
119158	9/13/15 17:41	-56.275899	-19.632032	Panthera onca	919458	101	Rio Negro	Brazil
119159	9/13/15 23:41	-56.275878	-19.63185	Panthera onca	919458	101	Rio Negro	Brazil
119160	9/14/15 4:40	-56.281586	-19.630026	Panthera onca	919458	101	Rio Negro	Brazil
119161	9/14/15 14:42	-56.286585	-19.627322	Panthera onca	919458	101	Rio Negro	Brazil
119162	9/15/15 1:41	-56.286306	-19.626882	Panthera onca	919458	101	Rio Negro	Brazil
119163	9/15/15 11:41	-56.286628	-19.62744	Panthera onca	919458	101	Rio Negro	Brazil
119164	9/17/15 7:41	-56.28783	-19.640561	Panthera onca	919458	101	Rio Negro	Brazil
119165	9/17/15 12:40	-56.285598	-19.629382	Panthera onca	919458	101	Rio Negro	Brazil
119166	9/18/15 0:41	-56.281071	-19.641666	Panthera onca	919458	101	Rio Negro	Brazil
119167	9/19/15 4:40	-56.249721	-19.63848	Panthera onca	919458	101	Rio Negro	Brazil
119168	9/19/15 9:40	-56.231697	-19.657803	Panthera onca	919458	101	Rio Negro	Brazil
119169	9/19/15 14:40	-56.250558	-19.708292	Panthera onca	919458	101	Rio Negro	Brazil
119170	9/19/15 20:41	-56.265407	-19.715717	Panthera onca	919458	101	Rio Negro	Brazil
119171	9/20/15 1:41	-56.257703	-19.708368	Panthera onca	919458	101	Rio Negro	Brazil
119172	9/21/15 14:41	-56.301885	-19.699817	Panthera onca	919458	101	Rio Negro	Brazil
119173	9/21/15 19:40	-56.303644	-19.700096	Panthera onca	919458	101	Rio Negro	Brazil
119174	9/22/15 0:40	-56.304438	-19.699731	Panthera onca	919458	101	Rio Negro	Brazil
119175	9/22/15 10:41	-56.307249	-19.69987	Panthera onca	919458	101	Rio Negro	Brazil
119176	9/22/15 22:41	-56.330853	-19.692253	Panthera onca	919458	101	Rio Negro	Brazil
119177	9/23/15 0:40	-56.330574	-19.692478	Panthera onca	919458	101	Rio Negro	Brazil
119178	9/23/15 2:40	-56.320617	-19.668113	Panthera onca	919458	101	Rio Negro	Brazil
119179	9/23/15 3:40	-56.313622	-19.659369	Panthera onca	919458	101	Rio Negro	Brazil
119180	9/23/15 4:40	-56.313579	-19.65939	Panthera onca	919458	101	Rio Negro	Brazil
119181	9/23/15 6:40	-56.313579	-19.659401	Panthera onca	919458	101	Rio Negro	Brazil
119182	9/23/15 7:40	-56.313579	-19.659358	Panthera onca	919458	101	Rio Negro	Brazil
119183	9/23/15 8:40	-56.313515	-19.659305	Panthera onca	919458	101	Rio Negro	Brazil
119184	9/23/15 10:40	-56.285062	-19.649874	Panthera onca	919458	101	Rio Negro	Brazil
119185	9/24/15 1:41	-56.285448	-19.652567	Panthera onca	919458	101	Rio Negro	Brazil
119186	9/24/15 2:40	-56.285491	-19.652588	Panthera onca	919458	101	Rio Negro	Brazil
119187	9/25/15 6:41	-56.278968	-19.651623	Panthera onca	919458	101	Rio Negro	Brazil
119188	9/25/15 17:41	-56.281629	-19.645067	Panthera onca	919458	101	Rio Negro	Brazil
119189	9/26/15 4:40	-56.292336	-19.691845	Panthera onca	919458	101	Rio Negro	Brazil
119190	9/27/15 1:40	-56.327612	-19.692918	Panthera onca	919458	101	Rio Negro	Brazil
119191	9/28/15 4:42	-56.330295	-19.691041	Panthera onca	919458	101	Rio Negro	Brazil
119192	9/29/15 7:41	-56.330252	-19.690998	Panthera onca	919458	101	Rio Negro	Brazil
119193	9/29/15 13:41	-56.330166	-19.691105	Panthera onca	919458	101	Rio Negro	Brazil
119194	9/29/15 18:41	-56.327569	-19.695193	Panthera onca	919458	101	Rio Negro	Brazil
119195	9/29/15 23:41	-56.32669	-19.695128	Panthera onca	919458	101	Rio Negro	Brazil
119196	9/30/15 4:41	-56.327419	-19.703003	Panthera onca	919458	101	Rio Negro	Brazil
119197	9/30/15 14:40	-56.33714	-19.681438	Panthera onca	919458	101	Rio Negro	Brazil
119198	10/01/2015 05:41	-56.313987	-19.691931	Panthera onca	919458	101	Rio Negro	Brazil
119199	10/01/2015 20:41	-56.315725	-19.692425	Panthera onca	919458	101	Rio Negro	Brazil
119200	10/02/2015 01:40	-56.314631	-19.69236	Panthera onca	919458	101	Rio Negro	Brazil
119201	10/02/2015 07:41	-56.314716	-19.692317	Panthera onca	919458	101	Rio Negro	Brazil
119202	10/02/2015 17:41	-56.315639	-19.692371	Panthera onca	919458	101	Rio Negro	Brazil
119203	10/02/2015 22:41	-56.31566	-19.692425	Panthera onca	919458	101	Rio Negro	Brazil
119204	10/03/2015 09:40	-56.229658	-19.657781	Panthera onca	919458	101	Rio Negro	Brazil
119205	10/04/2015 01:41	-56.286564	-19.643533	Panthera onca	919458	101	Rio Negro	Brazil
119206	10/04/2015 06:40	-56.2871	-19.643115	Panthera onca	919458	101	Rio Negro	Brazil
119207	10/04/2015 11:40	-56.355851	-19.620166	Panthera onca	919458	101	Rio Negro	Brazil
119208	10/04/2015 21:41	-56.376514	-19.620799	Panthera onca	919458	101	Rio Negro	Brazil
119209	10/05/2015 02:40	-56.376729	-19.656236	Panthera onca	919458	101	Rio Negro	Brazil
119210	10/05/2015 07:41	-56.400654	-19.670774	Panthera onca	919458	101	Rio Negro	Brazil
119211	10/05/2015 18:41	-56.428635	-19.679346	Panthera onca	919458	101	Rio Negro	Brazil
119212	10/05/2015 23:41	-56.422992	-19.681921	Panthera onca	919458	101	Rio Negro	Brazil
119213	10/06/2015 04:40	-56.378853	-19.692907	Panthera onca	919458	101	Rio Negro	Brazil
119214	10/06/2015 20:41	-56.315703	-19.692392	Panthera onca	919458	101	Rio Negro	Brazil
119215	10/07/2015 01:41	-56.306477	-19.699978	Panthera onca	919458	101	Rio Negro	Brazil
119216	10/07/2015 06:41	-56.295834	-19.700396	Panthera onca	919458	101	Rio Negro	Brazil
119217	10/08/2015 02:41	-56.274891	-19.704956	Panthera onca	919458	101	Rio Negro	Brazil
119218	10/08/2015 10:40	-56.274934	-19.704859	Panthera onca	919458	101	Rio Negro	Brazil
119219	10/09/2015 01:40	-56.274869	-19.704838	Panthera onca	919458	101	Rio Negro	Brazil
119220	10/09/2015 11:40	-56.274955	-19.704967	Panthera onca	919458	101	Rio Negro	Brazil
119221	10/10/2015 02:41	-56.327484	-19.688262	Panthera onca	919458	101	Rio Negro	Brazil
119222	10/10/2015 07:41	-56.331003	-19.694506	Panthera onca	919458	101	Rio Negro	Brazil
119223	10/11/2015 10:41	-56.308923	-19.621668	Panthera onca	919458	101	Rio Negro	Brazil
119224	10/11/2015 20:40	-56.344478	-19.618664	Panthera onca	919458	101	Rio Negro	Brazil
119225	10/12/2015 11:40	-56.367953	-19.63701	Panthera onca	919458	101	Rio Negro	Brazil
119226	10/13/15 2:41	-56.370893	-19.631689	Panthera onca	919458	101	Rio Negro	Brazil
119227	10/14/15 23:40	-56.370764	-19.63141	Panthera onca	919458	101	Rio Negro	Brazil
119228	10/15/15 9:41	-56.371343	-19.631882	Panthera onca	919458	101	Rio Negro	Brazil
119229	10/16/15 1:41	-56.370764	-19.632343	Panthera onca	919458	101	Rio Negro	Brazil
119230	10/16/15 6:40	-56.368489	-19.633663	Panthera onca	919458	101	Rio Negro	Brazil
119231	10/16/15 11:40	-56.348126	-19.649595	Panthera onca	919458	101	Rio Negro	Brazil
119232	10/16/15 21:41	-56.359241	-19.671139	Panthera onca	919458	101	Rio Negro	Brazil
119233	10/17/15 7:40	-56.354907	-19.668875	Panthera onca	919458	101	Rio Negro	Brazil
119234	10/18/15 3:41	-56.361215	-19.666557	Panthera onca	919458	101	Rio Negro	Brazil
119235	10/18/15 8:40	-56.340466	-19.666879	Panthera onca	919458	101	Rio Negro	Brazil
119236	10/18/15 13:41	-56.327248	-19.689324	Panthera onca	919458	101	Rio Negro	Brazil
119237	10/19/15 4:40	-56.33877	-19.670817	Panthera onca	919458	101	Rio Negro	Brazil
119238	10/20/15 0:40	-56.326926	-19.68941	Panthera onca	919458	101	Rio Negro	Brazil
119239	10/20/15 5:40	-56.338084	-19.669808	Panthera onca	919458	101	Rio Negro	Brazil
119240	10/20/15 11:41	-56.330702	-19.68044	Panthera onca	919458	101	Rio Negro	Brazil
119241	10/20/15 22:41	-56.326518	-19.690375	Panthera onca	919458	101	Rio Negro	Brazil
119242	10/21/15 8:41	-56.326797	-19.689689	Panthera onca	919458	101	Rio Negro	Brazil
119243	10/21/15 13:41	-56.327269	-19.689345	Panthera onca	919458	101	Rio Negro	Brazil
119244	10/22/15 4:41	-56.356366	-19.704505	Panthera onca	919458	101	Rio Negro	Brazil
119245	10/22/15 9:40	-56.373339	-19.681095	Panthera onca	919458	101	Rio Negro	Brazil
119246	10/22/15 14:41	-56.359477	-19.671085	Panthera onca	919458	101	Rio Negro	Brazil
119247	10/22/15 16:41	-56.359541	-19.671085	Panthera onca	919458	101	Rio Negro	Brazil
119248	10/22/15 17:40	-56.359885	-19.66792	Panthera onca	919458	101	Rio Negro	Brazil
119249	10/22/15 18:40	-56.359885	-19.66792	Panthera onca	919458	101	Rio Negro	Brazil
119250	10/22/15 20:40	-56.359863	-19.66792	Panthera onca	919458	101	Rio Negro	Brazil
119251	10/22/15 21:40	-56.359842	-19.667931	Panthera onca	919458	101	Rio Negro	Brazil
119252	10/23/15 1:40	-56.361237	-19.666944	Panthera onca	919458	101	Rio Negro	Brazil
119253	10/23/15 2:40	-56.361172	-19.666901	Panthera onca	919458	101	Rio Negro	Brazil
119254	10/23/15 4:40	-56.361301	-19.666944	Panthera onca	919458	101	Rio Negro	Brazil
119255	10/23/15 5:40	-56.361258	-19.666965	Panthera onca	919458	101	Rio Negro	Brazil
119256	10/23/15 7:40	-56.361215	-19.666986	Panthera onca	919458	101	Rio Negro	Brazil
119257	10/23/15 8:40	-56.361172	-19.666965	Panthera onca	919458	101	Rio Negro	Brazil
119258	10/23/15 11:41	-56.349843	-19.684603	Panthera onca	919458	101	Rio Negro	Brazil
119259	10/23/15 16:40	-56.327291	-19.68941	Panthera onca	919458	101	Rio Negro	Brazil
119260	10/24/15 3:40	-56.32684	-19.689678	Panthera onca	919458	101	Rio Negro	Brazil
