territory	preytype	moosedensity	roedensity	daynumber	timesincekill	nutritionalstatus	snowdepthm
1	1	3.93	0.00	48			0.62
1	1	0.81	0.00	59	10.30	20	0.57
1	1	2.77	0.00	61	2.70	77	0.56
1	1	0.99	0.00	62	1.10	85	0.56
1	1	8.30	0.00	65	2.90	134	0.66
1	1	0.14	0.00	69	4.00	68	0.64
1	1	3.02	0.00	71	1.90	83	0.54
1	1	0.81	0.00	74	2.30	80	0.58
1	1	3.04	0.00	77	3.60	129	0.57
1	1	2.39	0.00	79	2.30	80	0.56
1	1	2.49	0.00	81	1.50	86	0.56
1	1	2.49	0.00	81	0.00	98	0.56
1	1	0.50	0.00	86	5.20	58	0.46
1	0	2.38	0.00	91	4.60	63	0.39
1	1	9.14	0.00	93	2.50	78	0.41
1	1	4.20	0.53	98	4.30	65	0.39
1	1	4.16	0.00	102	4.60	63	0.37
1	1	5.41	0.00	108	6.00	53	0.20
2	0	1.46	0.00	38			0.29
2	1	2.01	0.00	39	1.50	70	0.35
2	1	2.00	0.00	44	1.80	124	0.36
2	1	3.56	0.55	50	6.50	29	0.24
2	1	0.68	0.54	53	2.60	-34	0.23
2	1	2.37	0.00	54	1.30	205	0.27
2	1	0.25	0.54	57	2.30	57	0.25
2	1	1.12	0.55	58	1.30	74	0.25
2	1	1.76	0.00	65	7.40	129	0.21
2	1	3.22	0.00	77	3.80	160	0.12
2	0	1.10	0.00	79	2.10	119	0.04
2	0	2.37	0.00	83	4.10	25	0.00
3	1	1.28	0.00	49			0.45
3	1	0.49	0.00	54	5.00	190	0.50
3	1	1.92	0.00	54	0.40	153	0.50
3	1	1.28	0.00	62	7.30	42	0.53
3	1	1.09	0.00	68	5.90	53	0.48
3	1	3.37	0.00	70	2.60	78	0.45
3	1	3.37	0.00	76	5.80	54	0.53
3	1	6.06	0.00	79	3.40	72	0.51
3	1	6.06	0.00	80	0.70	92	0.51
3	1	6.06	0.00	80	0.30	95	0.50
3	1	6.36	0.00	80	0.10	97	0.50
3	1	1.28	0.00	86	5.40	57	0.48
3	1	2.98	0.00	105	5.00	60	0.33
3	1	0.15	0.00	106	1.30	88	0.30
3	1	2.85	0.00	-21			0.37
3	1	1.88	0.00	-16	5.00	94	0.35
3	1	0.90	0.00	-7	8.90	30	0.40
3	1	4.18	0.00	-5	2.00	141	0.39
3	0	1.88	0.00	-1	4.10	123	0.42
3	1	0.73	0.00	6	6.30	84	0.42
3	1	0.54	0.00	10	4.60	63	0.40
3	1	3.37	0.00	10	0.30	95	0.40
3	0	2.92	0.00	14	3.60	71	0.36
3	0	0.71	0.00	17	3.00	133	0.32
3	0	0.49	0.00	20	3.40	72	0.35
3	1	2.42	0.00	21	0.80	91	0.39
3	1	1.42	0.00	31	9.90	82	0.66
3	1	1.10	0.00	31	0.00	97	0.66
3	1	2.98	0.00	42	3.00	75	0.63
3	1	2.96	0.00	47	5.00	60	0.60
3	1	2.58	0.00	50	2.90	94	0.60
3	1	1.76	0.00	52	1.90	83	0.75
3	1	0.50	0.00	55	2.10	81	0.78
3	0	0.50	0.00	55	0.10	97	0.78
3	0	1.30	0.00	58	3.50	130	0.71
3	1	4.97	0.00	61	3.00	75	0.67
3	1	2.96	0.00	66	5.10	59	0.65
3	0	6.36	0.00	77	10.60	18	0.64
3	1	1.28	0.00	81	4.50	64	0.61
3	1	2.58	0.00	89	7.80	39	0.48
3	1	1.99	0.00	94	4.70	62	0.40
3	1	1.70	0.00	95	1.10	147	0.32
3	1	4.97	0.00	97	2.20	81	0.28
3	1	2.42	0.00	99	2.00	82	0.24
3	1	0.50	0.00	101	1.60	85	0.21
3	1	6.43	0.00	103	2.10	82	0.13
3	1	1.85	0.00	106	3.20	73	0.00
3	1	2.58	0.00	47			0.60
3	1	0.78	0.00	47	0.40	90	0.60
3	1	0.50	0.00	49	1.60	64	0.60
3	1	4.11	0.00	50	1.20	76	0.60
3	1	1.22	0.00	56	6.10	0	0.59
3	1	2.58	0.00	58	1.50	65	0.58
3	0	4.18	0.00	58	0.40	88	0.58
3	1	7.26	3.65	60	1.80	61	0.58
3	1	5.60	0.00	60	0.30	91	0.58
3	0	5.60	0.00	63	2.50	46	0.57
3	1	7.26	3.65	64	1.00	76	0.57
3	0	0.50	0.00	67	3.10	34	0.68
3	1	4.97	0.00	72	5.10	-54	0.57
3	1	5.60	0.00	74	2.30	50	0.56
3	1	5.60	0.00	75	1.10	75	0.56
3	1	3.33	0.00	76	0.60	85	0.56
3	1	5.60	0.00	77	1.30	70	0.55
3	1	7.26	3.65	85	7.90	-68	0.47
3	0	0.78	0.00	87	2.10	54	0.44
3	1	1.18	0.00	89	2.10	54	0.41
3	1	4.97	0.00	92	2.40	47	0.45
3	0	4.97	0.00	92	0.00	98	0.45
3	1	3.37	0.00	94	2.30	50	0.41
3	1	1.53	0.00	97	3.10	33	0.40
3	0	2.58	0.00	98	1.10	74	0.38
4	1	0.65	0.00	49			0.36
4	0	2.14	0.57	54	5.10	53	0.32
4	1	5.46	0.00	56	2.00	187	0.33
4	1	1.96	0.00	57	1.10	74	0.44
4	1	1.08	0.00	58	0.90	78	0.44
4	1	1.08	0.00	59	1.00	77	0.49
4	1	0.67	0.00	61	2.30	49	0.43
